arrow,"[""bible_8.txt"", ""bible_9.txt""]"
arrows,"[""bible_8.txt"", ""bible_9.txt""]"
art,"[""bible_8.txt"", ""bible_9.txt""]"
artificer,"[""bible_9.txt""]"
as,"[""bible_8.txt"", ""bible_9.txt""]"
asaph,"[""bible_9.txt""]"
asaphs,"[""bible_9.txt""]"
ascend,"[""bible_8.txt"", ""bible_9.txt""]"
ascended,"[""bible_8.txt"", ""bible_9.txt""]"
ascribe,"[""bible_8.txt""]"
ash,"[""bible_9.txt""]"
ashamed,"[""bible_8.txt"", ""bible_9.txt""]"
ashdod,"[""bible_9.txt""]"
ashes,"[""bible_8.txt"", ""bible_9.txt""]"
aside,"[""bible_8.txt"", ""bible_9.txt""]"
ask,"[""bible_9.txt""]"
asked,"[""bible_8.txt"", ""bible_9.txt""]"
asking,"[""bible_8.txt""]"
asleep,"[""bible_9.txt""]"
asp,"[""bible_9.txt""]"
ass,"[""bible_9.txt""]"
assemble,"[""bible_9.txt""]"
assembled,"[""bible_8.txt"", ""bible_9.txt""]"
assemblies,"[""bible_8.txt"", ""bible_9.txt""]"
assembly,"[""bible_8.txt"", ""bible_9.txt""]"
asses,"[""bible_8.txt"", ""bible_9.txt""]"
associate,"[""bible_9.txt""]"
assur,"[""bible_8.txt""]"
assurance,"[""bible_9.txt""]"
assyria,"[""bible_9.txt""]"
assyrian,"[""bible_9.txt""]"
assyrians,"[""bible_9.txt""]"
astonied,"[""bible_9.txt""]"
astonished,"[""bible_9.txt""]"
astonishment,"[""bible_8.txt""]"
astray,"[""bible_8.txt"", ""bible_9.txt""]"
astrologers,"[""bible_9.txt""]"
asunder,"[""bible_8.txt""]"
at,"[""bible_8.txt"", ""bible_9.txt""]"
ate,"[""bible_8.txt""]"
attain,"[""bible_8.txt""]"
attend,"[""bible_8.txt""]"
attended,"[""bible_8.txt""]"
attentive,"[""bible_8.txt""]"
attire,"[""bible_8.txt"", ""bible_9.txt""]"
authority,"[""bible_9.txt""]"
avenge,"[""bible_9.txt""]"
avenged,"[""bible_9.txt""]"
avenger,"[""bible_8.txt""]"
avengeth,"[""bible_8.txt""]"
avoid,"[""bible_8.txt""]"
awake,"[""bible_8.txt"", ""bible_9.txt""]"
awaked,"[""bible_8.txt""]"
awakest,"[""bible_8.txt""]"
awaketh,"[""bible_8.txt"", ""bible_9.txt""]"
aware,"[""bible_9.txt""]"
away,"[""bible_8.txt"", ""bible_9.txt""]"
awe,"[""bible_8.txt""]"
axe,"[""bible_9.txt""]"
axes,"[""bible_8.txt""]"
baal,"[""bible_9.txt""]"
baalhamon,"[""bible_9.txt""]"
baalim,"[""bible_9.txt""]"
baalpeor,"[""bible_8.txt""]"
babbler,"[""bible_9.txt""]"
babbling,"[""bible_8.txt""]"
babes,"[""bible_8.txt"", ""bible_9.txt""]"
babylon,"[""bible_8.txt"", ""bible_9.txt""]"
baca,"[""bible_8.txt""]"
back,"[""bible_8.txt"", ""bible_9.txt""]"
backbiteth,"[""bible_8.txt""]"
backbiting,"[""bible_9.txt""]"
backslider,"[""bible_8.txt""]"
backsliding,"[""bible_9.txt""]"
backslidings,"[""bible_9.txt""]"
backward,"[""bible_8.txt"", ""bible_9.txt""]"
bag,"[""bible_8.txt"", ""bible_9.txt""]"
bajith,"[""bible_9.txt""]"
baked,"[""bible_9.txt""]"
baketh,"[""bible_9.txt""]"
baladan,"[""bible_9.txt""]"
balance,"[""bible_8.txt"", ""bible_9.txt""]"
baldness,"[""bible_9.txt""]"
ball,"[""bible_9.txt""]"
bands,"[""bible_8.txt"", ""bible_9.txt""]"
bank,"[""bible_9.txt""]"
banks,"[""bible_9.txt""]"
banner,"[""bible_8.txt"", ""bible_9.txt""]"
banners,"[""bible_8.txt"", ""bible_9.txt""]"
banqueting,"[""bible_9.txt""]"
