Token,bible_1.txt,bible_10.txt,bible_11.txt,bible_12.txt,bible_13.txt,bible_14.txt,bible_15.txt,bible_2.txt,bible_3.txt,bible_4.txt,bible_5.txt,bible_6.txt,bible_7.txt,bible_8.txt,bible_9.txt
adams,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
adar,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0
adbeel,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
add,1,0,0,1,1,1,3,8,5,0,3,3,1,2,4
addan,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
addar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
added,0,2,1,1,7,2,0,0,1,1,0,0,0,0,0
adder,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
adders,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
addeth,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0
addi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
addicted,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
addition,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
additional,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
additions,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
addon,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
address,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
addresses,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ader,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
adiel,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
adin,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
adina,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
adino,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
adithaim,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
adjure,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0
adjured,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
adlai,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
admah,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0
admatha,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
administered,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
administration,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
administrations,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
admiration,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
admired,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
admonish,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
admonished,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2
admonishing,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
admonition,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
adna,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
adnah,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ado,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
adonibezek,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
adonijah,0,0,0,0,0,0,0,0,0,0,23,2,1,0,0
adonikam,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
adoniram,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
adonizedec,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
adoption,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
adoraim,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
adoram,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
adorn,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
adorned,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0
adorneth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
adorning,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
adrammelech,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
adramyttium,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
adria,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
adriel,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
adullam,0,0,1,0,0,0,0,0,0,3,1,2,1,0,0
adullamite,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adulterer,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
adulterers,0,2,1,1,1,1,2,0,0,0,0,0,0,1,0
adulteress,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0
adulteresses,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
adulteries,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
adulterous,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
adultery,1,3,5,10,5,4,4,2,1,0,0,0,0,1,4
adultress,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adummim,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
advanced,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
advantage,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0
advantaged,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
advantageth,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
adventure,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
adventured,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
adversaries,0,7,2,0,2,2,1,1,3,1,1,0,2,8,6
adversary,0,3,1,2,2,1,1,1,1,1,5,0,2,1,1
adversities,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
adversity,0,0,0,0,0,0,1,0,0,0,1,1,0,5,2
advertise,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
advice,0,0,0,0,0,1,0,0,0,3,1,2,1,1,0
advise,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
advised,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
advisement,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
advocate,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
aeneas,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
aenon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
afar,5,5,1,6,6,1,5,3,0,0,3,0,7,5,4
affairs,0,0,2,0,0,3,1,0,0,0,0,1,0,1,0
affect,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
affected,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
affecteth,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
affection,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0
affectionately,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
affectioned,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
affections,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
affinity,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
affirm,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
affirmed,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
afflict,5,2,3,1,0,0,0,4,4,3,2,1,2,5,4
afflicted,1,3,2,2,0,2,3,2,1,1,3,1,3,18,12
afflictest,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
affliction,7,9,5,6,2,7,3,0,2,1,3,4,10,12,4
afflictions,0,0,0,0,1,4,6,0,0,0,0,0,0,2,0
affording,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
affright,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
affrighted,0,1,0,2,1,0,1,0,1,0,0,0,2,0,1
afoot,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
afore,0,0,1,0,0,3,0,0,0,0,0,1,0,1,1
aforehand,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
aforetime,0,1,1,0,1,1,0,0,0,0,0,0,2,0,1
afraid,12,16,14,19,10,6,4,3,15,13,12,7,24,15,23
afresh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
after,126,54,55,50,73,117,59,115,99,97,107,70,86,33,38
afternoon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
afterward,5,4,7,6,6,2,4,8,8,8,1,1,3,1,2
afterwards,2,1,0,0,1,2,0,0,1,1,0,0,1,1,3
agabus,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
agag,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0
agagite,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
again,54,52,35,71,92,51,26,18,29,60,68,31,37,26,22
against,49,207,180,101,57,70,26,54,129,181,120,143,146,97,108
agar,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
agate,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
agates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
age,10,0,0,3,5,1,2,1,0,5,2,3,5,3,2
aged,0,0,0,0,0,0,3,0,0,0,1,0,4,0,1
